Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
194307,0.0761
194308,-0.0959
194309,0.0287
194310,0.4078
194311,0.1751
194312,0.6540
194401,0.7775
194402,0.3746
194403,0.3836
194404,0.0030
194405,0.1129
194406,0.1813
194407,0.1807
194408,0.1215
194409,0.4444
194410,0.3612
194411,-0.0637
194412,-0.3559
194501,-0.2197
194502,-0.7064
194503,-0.1552
194504,0.2442
194505,-0.1247
194506,-0.0409
194507,-0.0987
194508,0.3740
194509,0.1449
194510,0.2384
194511,0.0200
194512,-0.5751
194601,0.3381
194602,0.2563
194603,-0.0928
194604,0.4086
194605,-0.0608
194606,-0.2447
194607,-0.0299
194608,-0.0361
194609,-0.0509
194610,-0.0385
194611,0.0952
194612,-0.6962
194701,-0.3167
194702,-0.0894
194703,0.3247
194704,0.2245
194705,0.0260
194706,0.0309
194707,-0.0253
194708,-0.0533
194709,0.0131
194710,0.5013
194711,0.1866
194712,-0.1449
194801,0.5494
194802,-0.0850
194803,-0.3867
194804,0.0340
194805,0.2645
194806,0.0955
194807,0.0364
194808,0.0272
194809,0.0319
194810,0.1229
194811,0.0908
194812,-0.1925
194901,0.4865
194902,-0.4310
194903,-0.1593
194904,0.0658
194905,0.1224
194906,-0.2188
194907,-0.1346
194908,0.0244
194909,-0.1533
194910,0.0522
194911,0.1216
194912,-0.3602
195001,-0.7814
195002,-0.5261
195003,-0.0708
195004,-0.2854
195005,-0.0083
195006,-0.1185
195007,-0.3002
195008,-0.3801
195009,-0.1780
195010,-0.2791
195011,-0.8928
195012,-0.1906
195101,-0.6166
195102,-1.0556
195103,-0.3240
195104,-0.1040
195105,0.1773
195106,-0.0746
195107,0.0556
195108,0.0917
195109,0.2533
195110,0.1466
195111,-0.0237
195112,0.5795
195201,0.3029
195202,-0.0068
195203,-0.3999
195204,0.0198
195205,0.0122
195206,0.0031
195207,0.1534
195208,0.0188
195209,0.0916
195210,-0.2808
195211,-0.7587
195212,-0.1651
195301,0.2386
195302,0.3731
195303,0.4363
195304,0.3101
195305,0.1897
195306,0.1484
195307,0.0247
195308,0.1034
195309,0.0932
195310,0.1572
195311,-0.2564
195312,0.2641
195401,-0.7043
195402,-0.2769
195403,-0.2739
195404,-0.3048
195405,-0.4060
195406,-0.0980
195407,-0.1126
195408,0.0106
195409,0.0314
195410,0.0674
195411,0.4011
195412,-0.2603
195501,0.6291
195502,-0.0845
195503,-0.7599
195504,-0.4295
195505,-0.0793
195506,0.0178
195507,-0.1906
195508,0.1055
195509,-0.0346
195510,0.0551
195511,-0.3148
195512,-0.4606
195601,-0.4386
195602,-0.6487
195603,-0.4381
195604,-0.5311
195605,-0.4088
195606,-0.2101
195607,-0.2574
195608,-0.3897
195609,-0.4697
195610,-0.4262
195611,-0.3840
195612,-0.3934
195701,-0.3105
195702,-0.4226
195703,-0.3673
195704,-0.2765
195705,-0.0535
195706,0.1263
195707,-0.2088
195708,0.0234
195709,0.0666
195710,-0.0600
195711,0.2180
